"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Medicare Tax","189","154427"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Pension-obligation Bond Payments","190","641455"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Pension","191","3939719"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","FICA Taxes","192","517357"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","2332547"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Group Life Insurance","194","31754"
"Personal Services","1","Office of Bh/mr Services","2016","Grants Revenue Fund","Group Legal Insurance","195","23367"
"Purchase of Services","2","Office of Bh/mr Services","2016","Grants Revenue Fund","Ground and Building Rental","284","1478000"
"Purchase of Services","2","Office of Bh/mr Services","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","229743587"
"Materials and Supplies","3","Office of Bh/mr Services","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","221250"
"Equipment","4","Office of Bh/mr Services","2016","Grants Revenue Fund","Other Equipment (noc)","499","135940"
"Payments to Other Funds","8","Office of Bh/mr Services","2016","Grants Revenue Fund","Payments to General Fund","801","76248"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Perm Full Time-civilian","101","1521520"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Temporary Seasonal","121","1830705"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Worker's Comp-disability Comp","187","96892"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Worker's Comp-medical","188","8465"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Medicare Tax","189","48032"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Pension-obligation Bond Payments","190","62626"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Pension","191","72406"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","FICA Taxes","192","175386"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","19272"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Group Life Insurance","194","904"
"Personal Services","1","Recreation","2016","Grants Revenue Fund","Group Legal Insurance","195","144"
"Purchase of Services","2","Recreation","2016","Grants Revenue Fund","Professional Consult/spec Services","250","184020"
"Purchase of Services","2","Recreation","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","738683"
"Materials and Supplies","3","Recreation","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","6335874"
"Equipment","4","Recreation","2016","Grants Revenue Fund","Other Equipment (noc)","499","70000"
"Contributions, Indemnities, Refunds, Taxes","5","Recreation","2016","Grants Revenue Fund","Contributions-ed & Non-prof Rec Org","505","110000"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Salary Control","100","3278245"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Perm Full Time-civilian","101","67253785"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Perm Part Time","111","6513"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Overtime Civilian","161","8883538"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Holiday ""g""(2/3 Shifts)","171","241293"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Shift","181","109746"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Worker's Comp-disability Comp","187","1070313"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Medicare Tax","189","692472"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Pension-obligation Bond Payments","190","2316145"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Pension","191","17385074"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","FICA Taxes","192","2955615"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","12502791"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Group Life Insurance","194","116049"
"Personal Services","1","Human Services","2016","Grants Revenue Fund","Group Legal Insurance","195","137467"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Refuse/garbage/silt/sludge Removal","205","38331"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Commercial Off-shelf Comp Software","216","254412"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Professional Consult/spec Services","250","85668645"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Maint/support-computr Hardware/soft","266","36999"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Ground and Building Rental","284","847402"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Payments for Care of Individuals","290","119030147"
"Purchase of Services","2","Human Services","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","245296528"
"Materials and Supplies","3","Human Services","2016","Grants Revenue Fund","Food","313","224400"
"Materials and Supplies","3","Human Services","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","1112797"
"Equipment","4","Human Services","2016","Grants Revenue Fund","Other Equipment (noc)","499","1370347"
"Purchase of Services","2","Prisons","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","30000"
"Personal Services","1","Office of Supportive Housing","2016","Grants Revenue Fund","Perm Full Time-civilian","101","710423"
"Purchase of Services","2","Office of Supportive Housing","2016","Grants Revenue Fund","Professional Consult/spec Services","250","30000000"
"Purchase of Services","2","Office of Supportive Housing","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","14956142"
"Materials and Supplies","3","Office of Supportive Housing","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","887489"
"Purchase of Services","2","Licenses & Inspections","2016","Grants Revenue Fund","Demolition of Buildings","262","4500000"
"Advances & Other Misc Payments","9","Director of Finance","2016","Grants Revenue Fund","Standby Authorizations","999","203800721"
"Purchase of Services","2","Revenue","2016","Grants Revenue Fund","Professional Consult/spec Services","250","21150000"
"Personal Services","1","Commerce","2016","Grants Revenue Fund","Perm Full Time-civilian","101","49814"
"Purchase of Services","2","Commerce","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","10811988"
"Personal Services","1","Mayor's Office of Transportation","2016","Grants Revenue Fund","Perm Full Time-civilian","101","127583"
"Purchase of Services","2","Mayor's Office of Transportation","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","1698435"
"Materials and Supplies","3","Mayor's Office of Transportation","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","2500"
"Personal Services","1","Mayor-office of Sustainability","2016","Grants Revenue Fund","Perm Full Time-civilian","101","40000"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Salary Control","100","78220"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Perm Full Time-civilian","101","255394"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Worker's Comp-disability Comp","187","8638"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Medicare Tax","189","8150"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Pension","191","30175"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","FICA Taxes","192","20925"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","72575"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Group Life Insurance","194","368"
"Personal Services","1","City Planning Commission","2016","Grants Revenue Fund","Group Legal Insurance","195","816"
"Purchase of Services","2","City Planning Commission","2016","Grants Revenue Fund","Purchase of Services Control","200","436000"
"Purchase of Services","2","City Planning Commission","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","519206"
"Payments to Other Funds","8","City Planning Commission","2016","Grants Revenue Fund","Pmt to Other Funds Control","800","1200"
"Payments to Other Funds","8","City Planning Commission","2016","Grants Revenue Fund","Payments to General Fund","801","400"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Salary Control","100","1093985"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Worker's Comp-disability Comp","187","4333"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Medicare Tax","189","1594"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Pension-obligation Bond Payments","190","17095"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Pension","191","45430"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","FICA Taxes","192","10682"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","51808"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Group Life Insurance","194","629"
"Personal Services","1","Free Library","2016","Grants Revenue Fund","Group Legal Insurance","195","528"
"Purchase of Services","2","Free Library","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","3921223"
"Materials and Supplies","3","Free Library","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","3221883"
"Equipment","4","Free Library","2016","Grants Revenue Fund","Other Equipment (noc)","499","144854"
"Materials and Supplies","3","City Controller","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","74999"
"Equipment","4","City Controller","2016","Grants Revenue Fund","Other Equipment (noc)","499","175000"
"Personal Services","1","District Attorney","2016","Grants Revenue Fund","Perm Full Time-civilian","101","14930000"
"Personal Services","1","District Attorney","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","545000"
"Purchase of Services","2","District Attorney","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","1124880"
"Materials and Supplies","3","District Attorney","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","26000"
"Equipment","4","District Attorney","2016","Grants Revenue Fund","Other Equipment (noc)","499","84462"
"Personal Services","1","City Commissioners","2016","Grants Revenue Fund","Perm Full Time-civilian","101","100000"
"Purchase of Services","2","City Commissioners","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","600000"
"Materials and Supplies","3","City Commissioners","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","100000"
"Equipment","4","City Commissioners","2016","Grants Revenue Fund","Other Equipment (noc)","499","100000"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Perm Full Time-civilian","101","34698587"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Worker's Comp-disability Comp","187","595009"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Medicare Tax","189","383704"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Pension-obligation Bond Payments","190","1029837"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Pension","191","6448665"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","FICA Taxes","192","1483006"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Medical Health & Welfare Credit","193","5832704"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Group Life Insurance","194","174103"
"Personal Services","1","1st Judicial District","2016","Grants Revenue Fund","Group Legal Insurance","195","70296"
"Purchase of Services","2","1st Judicial District","2016","Grants Revenue Fund","Other Expenses (not Othrwse Clssfd)","299","6775539"
"Materials and Supplies","3","1st Judicial District","2016","Grants Revenue Fund","Other Materials and Supplies (noc)","399","491967"
"Equipment","4","1st Judicial District","2016","Grants Revenue Fund","Other Equipment (noc)","499","323512"
"Personal Services","1","Office of Innovation & Technology","2016","Airport Operating Fund","Salary Control","100","6500"
"Personal Services","1","Office of Innovation & Technology","2016","Airport Operating Fund","Perm Full Time-civilian","101","291190"
"Purchase of Services","2","Office of Innovation & Technology","2016","Airport Operating Fund","Telephone","209","883000"
"Purchase of Services","2","Office of Innovation & Technology","2016","Airport Operating Fund","Commercial Off-shelf Comp Software","216","310681"
"Purchase of Services","2","Office of Innovation & Technology","2016","Airport Operating Fund","Professional Consult/spec Services","250","3000"
"Purchase of Services","2","Office of Innovation & Technology","2016","Airport Operating Fund","Information Technology-prof Service","251","6011933"
"Purchase of Services","2","Office of Innovation & Technology","2016","Airport Operating Fund","Maint/support-computr Hardware/soft","266","1398744"
"Equipment","4","Office of Innovation & Technology","2016","Airport Operating Fund","Computer Equipment & Peripherals","427","715000"
"Personal Services","1","Police","2016","Airport Operating Fund","Salary Control","100","104000"
"Personal Services","1","Police","2016","Airport Operating Fund","Perm Full Time-civilian","101","442970"
"Personal Services","1","Police","2016","Airport Operating Fund","Perm Full Time-uniform","105","11427763"
"Personal Services","1","Police","2016","Airport Operating Fund","Uniform Stress Pay","110","848491"
"Personal Services","1","Police","2016","Airport Operating Fund","Uniform Iod Pay (heart & Lung)","152","68618"
"Personal Services","1","Police","2016","Airport Operating Fund","Overtime Civilian","161","18340"
"Personal Services","1","Police","2016","Airport Operating Fund","Overtime Shift Uniform","165","2244652"
"Personal Services","1","Police","2016","Airport Operating Fund","Holiday ""g""(2/3 Shifts)","171","15400"
"Personal Services","1","Police","2016","Airport Operating Fund","Holiday Pay-annual","175","436902"
"Personal Services","1","Police","2016","Airport Operating Fund","Shift","181","4751"
"Purchase of Services","2","Police","2016","Airport Operating Fund","Cleaning and Laundering","201","77500"
"Materials and Supplies","3","Police","2016","Airport Operating Fund","Dry Goods/notions/wearing Apparel","308","93000"
"Personal Services","1","Fire","2016","Airport Operating Fund","Salary Control","100","100000"
"Personal Services","1","Fire","2016","Airport Operating Fund","Perm Full Time-uniform","105","5137895"
"Personal Services","1","Fire","2016","Airport Operating Fund","Fire out of Class Prem(2hr Dif)","107","327000"
"Personal Services","1","Fire","2016","Airport Operating Fund","Overtime Shift Uniform","165","648471"
"Personal Services","1","Fire","2016","Airport Operating Fund","Holiday Pay-annual","175","350000"
"Purchase of Services","2","Fire","2016","Airport Operating Fund","Professional Consult/spec Services","250","15000"
"Materials and Supplies","3","Fire","2016","Airport Operating Fund","Dry Goods/notions/wearing Apparel","308","71000"
"Materials and Supplies","3","Fire","2016","Airport Operating Fund","Hospital and Laboratory","317","14000"
"Equipment","4","Fire","2016","Airport Operating Fund","Fire Fighting and Emergency","412","40000"
"Payments to Other Funds","8","Fire","2016","Airport Operating Fund","Payments to Water Fund","803","23000"
"Purchase of Services","2","Public Property","2016","Airport Operating Fund","Electric Current-structures/streets","220","20000000"
"Purchase of Services","2","Public Property","2016","Airport Operating Fund","Gas Services","221","6900000"
"Personal Services","1","Fleet Management","2016","Airport Operating Fund","Perm Full Time-civilian","101","1038897"
"Personal Services","1","Fleet Management","2016","Airport Operating Fund","Overtime Civilian","161","307838"
"Personal Services","1","Fleet Management","2016","Airport Operating Fund","Holiday ""g""(2/3 Shifts)","171","10958"
"Personal Services","1","Fleet Management","2016","Airport Operating Fund","Shift","181","6495"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Cleaning and Laundering","201","8000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Janitorial Services","202","10000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Postage","210","100"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Transportation","211","500"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Licenses Permits Inspection Charges","215","5000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Professional Consult/spec Services","250","5000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Dues","255","500"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Seminar and Training Sessions","256","1000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Repair and Maintenance Charges","260","547300"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Insurance and Official Bonds","280","2000"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Rents","285","5600"
"Purchase of Services","2","Fleet Management","2016","Airport Operating Fund","Rental of Parking Spaces","286","3000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Books and Other Publications","304","2000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Building and Construction","305","3000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Chemicals and Gases","307","5000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Dry Goods/notions/wearing Apparel","308","3500"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Electrical and Communication","310","4000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","General Equipment and Machinery","311","5000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Fire Fighting and Safety","312","2000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Food","313","500"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","General Hardware and Minor Tools","316","10000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Hospital and Laboratory","317","1000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Janitorial, Laundry and Household","318","1000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Small Power Tools and Hand Tools","322","20000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Motor Vehicle Parts and Accessories","328","791000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Lubricants","335","22000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","#2 Diesel Fuel","340","318000"
"Materials and Supplies","3","Fleet Management","2016","Airport Operating Fund","Gasoline","345","265000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","General Equipment and Machinery","411","20000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","Office Equipment","420","3000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","Plumbing/air Conditioning/space Htg","423","2000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","Computer Equipment & Peripherals","427","7000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","Vehicles -- Motor and Motorless","428","4800000"
"Equipment","4","Fleet Management","2016","Airport Operating Fund","Furniture and Furnishings","430","8000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Flex Cash","186","24650"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Worker's Comp-disability Comp","187","650000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Worker's Comp-medical","188","750000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Medicare Tax","189","975000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Pension-obligation Bond Payments","190","6100000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Pension","191","25200000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","FICA Taxes","192","2900880"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Medical Health & Welfare Credit","193","20033809"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Group Life Insurance","194","131515"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Group Legal Insurance","195","201480"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Unemployment Comp Insurance","196","200000"
"Personal Services","1","Finance - Employee Benefits","2016","Airport Operating Fund","Auto Mechanic Tool Insurance","197","26937"
"Purchase of Services","2","Director of Finance","2016","Airport Operating Fund","Insurance and Official Bonds","280","4146000"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","Airport Operating Fund","Indemnities-interdepartmental Trans","513","2512000"
"Debt Service","7","Sinking Fund Commission","2016","Airport Operating Fund","Interest on City Debt -- Long-term","701","58767128"
"Debt Service","7","Sinking Fund Commission","2016","Airport Operating Fund","Principal Payments on City Debt-l/t","702","60215000"
"Debt Service","7","Sinking Fund Commission","2016","Airport Operating Fund","Commitment Fee Expense","705","4423000"
"Debt Service","7","Sinking Fund Commission","2016","Airport Operating Fund","Arbitrage Payments","706","100000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Salary Control","100","250000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Perm Full Time-civilian","101","36247207"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Plus/minus Gross Adj","109","250000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Perm Part Time","111","40000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Temporary Seasonal","121","950000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Overtime Civilian","161","7250000"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Holiday ""g""(2/3 Shifts)","171","880793"
"Personal Services","1","Commerce","2016","Airport Operating Fund","Shift","181","350000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Janitorial Services","202","135000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Refuse/garbage/silt/sludge Removal","205","540000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Telephone","209","90000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Transportation","211","160000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Licenses Permits Inspection Charges","215","90000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Commercial Off-shelf Comp Software","216","190000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Meals-non-travel & Officl Entertain","230","85000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Advertising/promotional Activities","240","1180000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Professional Consult/spec Services","250","29983000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Information Technology-prof Service","251","2063000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Accounting and Auditing Services","252","2257887"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Legal Services","253","950000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Mental Health & Retardation Service","254","203000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Dues","255","270000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Seminar and Training Sessions","256","200000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Architectural & Engineering Srvcs","257","9003954"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Court Reporters","258","2000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Repair and Maintenance Charges","260","23420000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Repaving Repairing & Resurf Streets","261","1200000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Maint/support-computr Hardware/soft","266","535000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Ground and Building Rental","284","815000"
"Purchase of Services","2","Commerce","2016","Airport Operating Fund","Rents","285","23000000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Books and Other Publications","304","60000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Building and Construction","305","729000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Chemicals and Gases","307","1245000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Dry Goods/notions/wearing Apparel","308","475000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Electrical and Communication","310","2000000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","General Equipment and Machinery","311","100000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Fire Fighting and Safety","312","170000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Fuel -- Heating and Lighting","314","400000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","General Hardware and Minor Tools","316","705000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Janitorial, Laundry and Household","318","1650000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Nautical and Aeronautical","319","20000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Office Materials and Supplies","320","142000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Small Power Tools and Hand Tools","322","100000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Plumbing/air Conditioning/space Htg","323","805000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Precision, Photographic and Artists","324","59000"
"Materials and Supplies","3","Commerce","2016","Airport Operating Fund","Printing","325","60000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Construction, Dredging, Conveying","405","525000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Electrical Lighting Communication","410","85000"
"Equipment","4","Commerce","2016","Airport Operating Fund","General Equipment and Machinery","411","30000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Janitorial and Laundry","418","85000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Nautical and Aeronautical","419","25000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Office Equipment","420","330000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Computer Equipment & Peripherals","427","2000000"
"Equipment","4","Commerce","2016","Airport Operating Fund","Furniture and Furnishings","430","250000"
"Contributions, Indemnities, Refunds, Taxes","5","Commerce","2016","Airport Operating Fund","Meritorious Awards","504","1000"
"Contributions, Indemnities, Refunds, Taxes","5","Commerce","2016","Airport Operating Fund","Taxes","515","2704000"
"Contributions, Indemnities, Refunds, Taxes","5","Commerce","2016","Airport Operating Fund","Other Miscellaneous Claims","589","1500000"
"Payments to Other Funds","8","Commerce","2016","Airport Operating Fund","Payments to General Fund","801","4100000"
"Payments to Other Funds","8","Commerce","2016","Airport Operating Fund","Payments to Water Fund","803","5000000"
"Payments to Other Funds","8","Commerce","2016","Airport Operating Fund","Payments to Capital Projects Fund","804","15000000"
"Payments to Other Funds","8","Commerce","2016","Airport Operating Fund","Payments to Other Funds","807","500000"
"Personal Services","1","Law","2016","Airport Operating Fund","Salary Control","100","30000"
"Personal Services","1","Law","2016","Airport Operating Fund","Perm Full Time-civilian","101","1462900"
"Personal Services","1","Law","2016","Airport Operating Fund","Perm Part Time","111","70403"
"Personal Services","1","Law","2016","Airport Operating Fund","Overtime Civilian","161","500"
"Purchase of Services","2","Law","2016","Airport Operating Fund","Transportation","211","1500"
"Purchase of Services","2","Law","2016","Airport Operating Fund","Professional Consult/spec Services","250","20500"
"Purchase of Services","2","Law","2016","Airport Operating Fund","Legal Services","253","399189"
"Purchase of Services","2","Law","2016","Airport Operating Fund","Seminar and Training Sessions","256","10089"
"Purchase of Services","2","Law","2016","Airport Operating Fund","Court Reporters","258","1161"
"Materials and Supplies","3","Law","2016","Airport Operating Fund","Small Power Tools and Hand Tools","322","9557"
"Equipment","4","Law","2016","Airport Operating Fund","Plumbing/air Conditioning/space Htg","423","9800"
"Equipment","4","Law","2016","Airport Operating Fund","Furniture and Furnishings","430","5000"
"Personal Services","1","Mayor's Office of Transportation","2016","Airport Operating Fund","Perm Full Time-civilian","101","191299"
"Personal Services","1","Mayor-office of Sustainability","2016","Airport Operating Fund","Perm Full Time-civilian","101","63873"
"Purchase of Services","2","Mayor-office of Sustainability","2016","Airport Operating Fund","Commercial Off-shelf Comp Software","216","30000"
"Personal Services","1","Office of Housing","2016","Community Development Fund","Salary Control","100","1000000"
"Personal Services","1","Office of Housing","2016","Community Development Fund","Perm Full Time-civilian","101","3572873"
"Personal Services","1","Office of Housing","2016","Community Development Fund","Temporary Seasonal","121","36000"
"Personal Services","1","Office of Housing","2016","Community Development Fund","Overtime Civilian","161","22800"
"Personal Services","1","Office of Housing","2016","Community Development Fund","Holiday ""g""(2/3 Shifts)","171","1200"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Telephone","209","13500"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Postage","210","40000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Transportation","211","1000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Commercial Off-shelf Comp Software","216","20000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Meals-non-travel & Officl Entertain","230","1000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Advertising/promotional Activities","240","50000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Professional Consult/spec Services","250","53879911"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Information Technology-prof Service","251","10000"
